"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","4545589","1","528218"
"2","org.apache.maven.model.validation.DefaultModelValidatorTest.setUp ()V","1378991","61","1378622"
"3","org.codehaus.plexus.PlexusTestCase.setUp ()V","627","116","627"
"4","org.apache.maven.model.interpolation.StringSearchModelInterpolatorTest.setUp ()V","1056454","29","1055682"
"5","org.apache.maven.model.interpolation.AbstractModelInterpolatorTest.setUp ()V","772","29","238"
"6","java.util.Properties.<init> ()V","373","47","373"
"7","java.util.Properties.put (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","170","63","170"
"8","org.apache.maven.model.inheritance.DefaultInheritanceAssemblerTest.setUp ()V","752346","9","752291"
"9","org.apache.maven.model.profile.activation.AbstractProfileActivatorTest.setUp ()V","462526","17","462407"
"10","org.apache.maven.model.building.ComplexActivationTest.testAndConditionInActivation ()V","288356","1","18682"
"11","org.apache.maven.model.building.DefaultModelBuilder.build (Lorg/apache/maven/model/building/ModelBuildingRequest;)Lorg/apache/maven/model/building/ModelBuildingResult;","175038","2","5148"
"12","org.apache.maven.model.building.DefaultModelBuilder.interpolateModel (Lorg/apache/maven/model/Model;Lorg/apache/maven/model/building/ModelBuildingRequest;Lorg/apache/maven/model/building/ModelProblemCollector;)Lorg/apache/maven/model/Model;","74008","2","29"
"13","org.apache.maven.model.interpolation.StringSearchModelInterpolator.interpolateModel (Lorg/apache/maven/model/Model;Ljava/io/File;Lorg/apache/maven/model/building/ModelBuildingRequest;Lorg/apache/maven/model/building/ModelProblemCollector;)Lorg/apache/maven/model/Model;","73779","2","6"
"14","org.apache.maven.model.interpolation.StringSearchModelInterpolator.interpolateObject (Ljava/lang/Object;Lorg/apache/maven/model/Model;Ljava/io/File;Lorg/apache/maven/model/building/ModelBuildingRequest;Lorg/apache/maven/model/building/ModelProblemCollector;)V","73773","2","995"
