"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","637415","1","359737"
"2","org.apache.maven.model.ResourceTest.testEqualsIdentity ()V","19952","1","19876"
"3","org.apache.maven.model.Resource.<init> ()V","76","6","24"
"4","org.apache.maven.model.FileSet.<init> ()V","52","6","23"
"5","org.apache.maven.model.PatternSet.<init> ()V","29","6","29"
"6","org.apache.maven.model.Resource.<clinit> ()V","14","1","14"
"7","java.lang.Object.equals (Ljava/lang/Object;)Z","7697","99","7697"
"8","org.apache.maven.model.PluginTest.testEqualsNullSafe ()V","17130","1","9296"
"9","org.apache.maven.model.Plugin.<init> ()V","7774","6","7709"
"10","org.apache.maven.model.ConfigurationContainer.<init> ()V","298","24","298"
"11","org.apache.maven.model.Plugin.equals (Ljava/lang/Object;)Z","498","3","42"
"12","org.apache.maven.model.Plugin.getKey ()Ljava/lang/String;","468","6","71"
"13","org.apache.maven.model.Plugin.constructKey (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","397","5","125"
"14","java.lang.StringBuilder.toString ()Ljava/lang/String;","148","15","148"
"15","java.lang.StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;","826","66","826"
"16","java.lang.StringBuilder.<init> ()V","96","10","96"
"17","java.lang.String.equals (Ljava/lang/Object;)Z","80","4","80"
"18","org.apache.maven.model.ModelTest.testEqualsIdentity ()V","14920","1","14874"
"19","org.apache.maven.model.Model.<init> ()V","58","6","41"
"20","org.apache.maven.model.ModelBase.<init> ()V","44","12","44"
"21","org.apache.maven.model.NotifierTest.testEqualsNullSafe ()V","13687","1","6810"
"22","org.apache.maven.model.Notifier.<init> ()V","103","6","103"
"23","org.apache.maven.model.PluginExecutionTest.testEqualsIdentity ()V","13303","1","13148"
"24","org.apache.maven.model.PluginExecution.<init> ()V","190","6","119"
"25","org.apache.maven.model.BuildTest.testEqualsIdentity ()V","12830","1","12751"
"26","org.apache.maven.model.Build.<init> ()V","120","6","36"
"27","org.apache.maven.model.BuildBase.<init> ()V","84","6","21"
"28","org.apache.maven.model.PluginConfiguration.<init> ()V","167","12","105"
"29","org.apache.maven.model.PluginContainer.<init> ()V","186","24","186"
"30","org.apache.maven.model.ReportingTest.testEqualsIdentity ()V","11073","1","10919"
"31","org.apache.maven.model.Reporting.<init> ()V","133","6","133"
"32","org.apache.maven.model.DeploymentRepositoryTest.testEqualsIdentity ()V","10579","1","10468"
"33","org.apache.maven.model.DeploymentRepository.<init> ()V","196","6","88"
"34","org.apache.maven.model.Repository.<init> ()V","233","12","103"
"35","org.apache.maven.model.RepositoryBase.<init> ()V","130","12","130"
"36","org.apache.maven.model.RepositoryBase.equals (Ljava/lang/Object;)Z","35","6","28"
"37","org.apache.maven.model.PluginTest.testEqualsIdentity ()V","9629","1","9234"
"38","org.apache.maven.model.RepositoryPolicyTest.testEqualsIdentity ()V","8169","1","8095"
"39","org.apache.maven.model.RepositoryPolicy.<init> ()V","91","6","91"
"40","org.apache.maven.model.SiteTest.testEqualsIdentity ()V","7879","1","7792"
"41","org.apache.maven.model.Site.<init> ()V","106","6","106"
"42","org.apache.maven.model.ReportPluginTest.testEqualsIdentity ()V","7702","1","7577"
"43","org.apache.maven.model.ReportPlugin.<init> ()V","183","6","117"
"44","org.apache.maven.model.DependencyTest.testEqualsIdentity ()V","7390","1","7219"
"45","org.apache.maven.model.Dependency.<init> ()V","196","6","196"
"46","org.apache.maven.model.ContributorTest.testEqualsIdentity ()V","7163","1","7091"
"47","org.apache.maven.model.Contributor.<init> ()V","138","12","138"
