"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","132534","1","89567"
"2","org.apache.maven.plugin.descriptor.PluginDescriptorBuilderTest.testBuildReader ()V","42964","1","227"
"3","org.apache.maven.plugin.descriptor.PluginDescriptorBuilderTest.build (Ljava/lang/String;)Lorg/apache/maven/plugin/descriptor/PluginDescriptor;","42655","1","5135"
"4","org.apache.maven.plugin.descriptor.PluginDescriptorBuilder.build (Ljava/io/Reader;)Lorg/apache/maven/plugin/descriptor/PluginDescriptor;","29633","1","5"
"5","org.apache.maven.plugin.descriptor.PluginDescriptorBuilder.build (Ljava/io/Reader;Ljava/lang/String;)Lorg/apache/maven/plugin/descriptor/PluginDescriptor;","29628","1","8257"
"6","org.apache.maven.plugin.descriptor.PluginDescriptorBuilder.buildConfiguration (Ljava/io/Reader;)Lorg/codehaus/plexus/configuration/PlexusConfiguration;","16318","1","1322"
"7","org.codehaus.plexus.util.xml.Xpp3DomBuilder.build (Ljava/io/Reader;)Lorg/codehaus/plexus/util/xml/Xpp3Dom;","14541","1","14541"
"8","org.codehaus.plexus.configuration.xml.XmlPlexusConfiguration.<init> (Lorg/codehaus/plexus/util/xml/Xpp3Dom;)V","455","1","455"
"9","org.apache.maven.plugin.descriptor.PluginDescriptorBuilder.buildComponentDescriptor (Lorg/codehaus/plexus/configuration/PlexusConfiguration;Lorg/apache/maven/plugin/descriptor/PluginDescriptor;)Lorg/apache/maven/plugin/descriptor/MojoDescriptor;","4810","2","4204"
"10","org.codehaus.plexus.configuration.PlexusConfiguration.getChild (Ljava/lang/String;)Lorg/codehaus/plexus/configuration/PlexusConfiguration;","299","71","299"
"11","org.apache.maven.plugin.descriptor.MojoDescriptor.<init> ()V","82","2","58"
"12","org.codehaus.plexus.component.repository.ComponentDescriptor.<init> ()V","24","2","24"
"13","org.apache.maven.plugin.descriptor.MojoDescriptor.setParameters (Ljava/util/List;)V","78","2","15"
"14","org.apache.maven.plugin.descriptor.MojoDescriptor.addParameter (Lorg/apache/maven/plugin/descriptor/Parameter;)V","36","1","25"
"15","java.util.LinkedList.<init> ()V","6","1","6"
"16","java.util.List.add (Ljava/lang/Object;)Z","13","3","13"
"17","java.util.List.iterator ()Ljava/util/Iterator;","17","2","17"
"18","java.util.Iterator.hasNext ()Z","7","3","7"
"19","java.util.Iterator.next ()Ljava/lang/Object;","3","1","3"
"20","org.codehaus.plexus.configuration.PlexusConfiguration.getValue ()Ljava/lang/String;","53","66","53"
"21","org.codehaus.plexus.configuration.PlexusConfiguration.getChild (Ljava/lang/String;Z)Lorg/codehaus/plexus/configuration/PlexusConfiguration;","14","7","14"
"22","org.codehaus.plexus.configuration.PlexusConfiguration.getChildren (Ljava/lang/String;)[Lorg/codehaus/plexus/configuration/PlexusConfiguration;","33","6","33"
"23","org.apache.maven.plugin.descriptor.Parameter.<init> ()V","12","1","12"
"24","org.codehaus.plexus.component.repository.ComponentRequirement.<init> ()V","12","1","12"
"25","java.lang.Boolean.parseBoolean (Ljava/lang/String;)Z","34","11","34"
"26","org.codehaus.plexus.configuration.PlexusConfiguration.getAttribute (Ljava/lang/String;)Ljava/lang/String;","14","3","14"
"27","org.codehaus.plexus.configuration.PlexusConfiguration.getValue (Ljava/lang/String;)Ljava/lang/String;","8","1","8"
"28","org.apache.maven.plugin.descriptor.MojoDescriptor.setAggregator (Z)V","6","1","6"
"29","org.apache.maven.plugin.descriptor.MojoDescriptor.setPluginDescriptor (Lorg/apache/maven/plugin/descriptor/PluginDescriptor;)V","6","2","6"
"30","org.apache.maven.plugin.descriptor.Parameter.setName (Ljava/lang/String;)V","5","1","5"
"31","org.codehaus.plexus.component.repository.ComponentRequirement.setRole (Ljava/lang/String;)V","5","1","5"
"32","java.util.ArrayList.<init> ()V","5","3","5"
"33","org.apache.maven.plugin.descriptor.MojoDescriptor.setMojoConfiguration (Lorg/codehaus/plexus/configuration/PlexusConfiguration;)V","4","2","4"
"34","org.apache.maven.plugin.descriptor.MojoDescriptor.setDirectInvocationOnly (Z)V","3","1","3"
"35","org.apache.maven.plugin.descriptor.MojoDescriptor.setExecuteGoal (Ljava/lang/String;)V","3","1","3"
"36","org.apache.maven.plugin.descriptor.MojoDescriptor.setSince (Ljava/lang/String;)V","3","1","3"
