"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","2706846","1","161789"
"2","org.apache.maven.repository.internal.AbstractRepositoryTestCase.setUp ()V","2311912","24","2295742"
"3","org.slf4j.LoggerFactory.getLogger (Ljava/lang/String;)Lorg/slf4j/Logger;","14930","10","20"
"4","org.slf4j.LoggerFactory.getILoggerFactory ()Lorg/slf4j/ILoggerFactory;","11751","10","29"
"5","org.slf4j.LoggerFactory.performInitialization ()V","11718","1","7"
"6","org.slf4j.LoggerFactory.bind ()V","11703","1","1265"
"7","org.slf4j.impl.StaticLoggerBinder.<clinit> ()V","9905","1","14"
"8","org.slf4j.impl.StaticLoggerBinder.<init> ()V","9878","1","4310"
"9","org.slf4j.impl.SimpleLoggerFactory.<init> ()V","5568","1","1389"
"10","org.slf4j.impl.SimpleLogger.lazyInit ()V","4153","1","3"
"11","org.slf4j.impl.SimpleLogger.init ()V","4150","1","1686"
"12","org.slf4j.impl.SimpleLoggerConfiguration.init ()V","2415","1","30"
"13","org.slf4j.impl.SimpleLoggerConfiguration.computeOutputChoice (Ljava/lang/String;Z)Lorg/slf4j/impl/OutputChoice;","1338","1","1273"
"14","org.slf4j.impl.OutputChoice$OutputChoiceType.<clinit> ()V","47","1","30"
"15","org.slf4j.impl.OutputChoice$OutputChoiceType.<init> (Ljava/lang/String;I)V","17","5","12"
"16","java.lang.Enum.<init> (Ljava/lang/String;I)V","5","5","5"
"17","org.slf4j.impl.OutputChoice.<init> (Lorg/slf4j/impl/OutputChoice$OutputChoiceType;)V","10","1","10"
"18","java.lang.String.equalsIgnoreCase (Ljava/lang/String;)Z","8","1","8"
"19","org.slf4j.impl.SimpleLoggerConfiguration.loadProperties ()V","1003","1","653"
"20","java.security.AccessController.doPrivileged (Ljava/security/PrivilegedAction;)Ljava/lang/Object;","341","1","13"
"21","org.slf4j.impl.SimpleLoggerConfiguration$1.run ()Ljava/lang/Object;","328","1","5"
"22","org.slf4j.impl.SimpleLoggerConfiguration$1.run ()Ljava/io/InputStream;","323","1","7"
