"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","300168","1","107926"
"2","org.apache.maven.settings.building.DefaultSettingsBuilderFactoryTest.testCompleteWiring ()V","134976","1","9556"
"3","org.apache.maven.settings.building.DefaultSettingsBuilder.build (Lorg/apache/maven/settings/building/SettingsBuildingRequest;)Lorg/apache/maven/settings/building/SettingsBuildingResult;","99559","1","1883"
"4","org.apache.maven.settings.building.DefaultSettingsBuilder.readSettings (Lorg/apache/maven/building/Source;Lorg/apache/maven/settings/building/SettingsBuildingRequest;Lorg/apache/maven/settings/building/DefaultSettingsProblemCollector;)Lorg/apache/maven/settings/Settings;","63279","2","6427"
"5","org.apache.maven.settings.io.DefaultSettingsReader.read (Ljava/io/InputStream;Ljava/util/Map;)Lorg/apache/maven/settings/Settings;","56330","1","12402"
"6","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.read (Ljava/io/InputStream;Z)Lorg/apache/maven/settings/Settings;","41030","1","30"
"7","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.read (Ljava/io/Reader;Z)Lorg/apache/maven/settings/Settings;","26241","2","25266"
"8","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.read (Lorg/codehaus/plexus/util/xml/pull/XmlPullParser;Z)Lorg/apache/maven/settings/Settings;","737","2","25"
"9","org.codehaus.plexus.util.xml.pull.XmlPullParser.next ()I","455","8","455"
"10","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.parseSettings (Lorg/codehaus/plexus/util/xml/pull/XmlPullParser;Z)Lorg/apache/maven/settings/Settings;","235","2","56"
"11","org.codehaus.plexus.util.xml.pull.XmlPullParser.nextTag ()I","37","2","37"
"12","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.interpolatedTrimmed (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","28","2","13"
"13","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.getTrimmedValue (Ljava/lang/String;)Ljava/lang/String;","11","2","4"
"14","java.lang.String.trim ()Ljava/lang/String;","7","2","7"
"15","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader$1.transform (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","4","2","4"
"16","org.codehaus.plexus.util.xml.pull.XmlPullParser.nextText ()Ljava/lang/String;","32","2","32"
"17","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.checkFieldWithDuplicate (Lorg/codehaus/plexus/util/xml/pull/XmlPullParser;Ljava/lang/String;Ljava/lang/String;Ljava/util/Set;)Z","24","2","6"
"18","java.util.Set.add (Ljava/lang/Object;)Z","355","22","355"
"19","java.lang.String.equals (Ljava/lang/Object;)Z","32","22","32"
"20","org.codehaus.plexus.util.xml.pull.XmlPullParser.getName ()Ljava/lang/String;","10","5","10"
"21","org.apache.maven.settings.Settings.<init> ()V","128","11","75"
"22","org.apache.maven.settings.TrackableBase.<init> ()V","132","22","132"
"23","java.util.HashSet.<init> ()V","204","54","204"
"24","org.apache.maven.settings.Settings.setLocalRepository (Ljava/lang/String;)V","7","2","7"
"25","org.codehaus.plexus.util.xml.pull.XmlPullParser.getAttributeCount ()I","5","2","5"
"26","org.codehaus.plexus.util.xml.pull.XmlPullParser.getEventType ()I","7","2","7"
"27","org.codehaus.plexus.util.xml.pull.XmlPullParser.getInputEncoding ()Ljava/lang/String;","5","2","5"
"28","org.apache.maven.settings.Settings.setModelEncoding (Ljava/lang/String;)V","5","2","5"
"29","org.codehaus.plexus.util.xml.pull.XmlPullParser.setInput (Ljava/io/Reader;)V","118","2","118"
"30","org.codehaus.plexus.util.xml.pull.MXParser.<init> (Lorg/codehaus/plexus/util/xml/pull/EntityReplacementMap;)V","120","2","120"
"31","org.codehaus.plexus.util.ReaderFactory.newXmlReader (Ljava/io/InputStream;)Lorg/codehaus/plexus/util/xml/XmlStreamReader;","14987","1","14987"
"32","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.<init> ()V","2790","2","2672"
"33","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader$1.<init> ()V","79","2","79"
"34","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.<init> (Lorg/apache/maven/settings/io/xpp3/SettingsXpp3Reader$ContentTransformer;)V","39","2","39"
"35","org.apache.maven.settings.io.DefaultSettingsReader.isStrict (Ljava/util/Map;)Z","82","2","18"
"36","java.util.Map.get (Ljava/lang/Object;)Ljava/lang/Object;","41","2","41"
"37","java.lang.Boolean.parseBoolean (Ljava/lang/String;)Z","10","2","10"
"38","java.lang.Object.toString ()Ljava/lang/String;","17","3","17"
"39","java.io.InputStream.close ()V","31","1","31"
"40","java.util.Objects.requireNonNull (Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;","63","5","63"
"41","java.util.Collections.singletonMap (Ljava/lang/Object;Ljava/lang/Object;)Ljava/util/Map;","255","2","255"
"42","org.apache.maven.settings.validation.DefaultSettingsValidator.validate (Lorg/apache/maven/settings/Settings;Lorg/apache/maven/settings/building/SettingsProblemCollector;)V","22626","12","1009"
"43","org.apache.maven.settings.Settings.getPluginGroups ()Ljava/util/List;","88","14","50"
"44","java.util.ArrayList.<init> ()V","309","66","309"
"45","org.apache.maven.settings.Settings.getProxies ()Ljava/util/List;","102","17","47"
"46","org.apache.maven.settings.Settings.getServers ()Ljava/util/List;","95","15","32"
