"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","110689","1","77829"
"2","org.apache.maven.settings.GlobalSettingsTest.testValidGlobalSettings ()V","32860","1","14519"
"3","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.read (Ljava/io/Reader;)Lorg/apache/maven/settings/Settings;","17266","1","4"
"4","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.read (Ljava/io/Reader;Z)Lorg/apache/maven/settings/Settings;","17262","1","11467"
"5","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.read (Lorg/codehaus/plexus/util/xml/pull/XmlPullParser;Z)Lorg/apache/maven/settings/Settings;","5650","1","19"
"6","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.parseSettings (Lorg/codehaus/plexus/util/xml/pull/XmlPullParser;Z)Lorg/apache/maven/settings/Settings;","4775","1","3688"
"7","org.codehaus.plexus.util.xml.pull.XmlPullParser.nextTag ()I","796","11","796"
"8","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.checkFieldWithDuplicate (Lorg/codehaus/plexus/util/xml/pull/XmlPullParser;Ljava/lang/String;Ljava/lang/String;Ljava/util/Set;)Z","219","36","123"
"9","java.lang.String.equals (Ljava/lang/Object;)Z","53","69","53"
"10","org.codehaus.plexus.util.xml.pull.XmlPullParser.getName ()Ljava/lang/String;","45","69","45"
"11","java.util.Set.add (Ljava/lang/Object;)Z","12","5","12"
"12","org.apache.maven.settings.Settings.<init> ()V","25","1","15"
"13","org.apache.maven.settings.TrackableBase.<init> ()V","10","1","10"
"14","java.util.ArrayList.<init> ()V","9","5","9"
"15","java.util.HashSet.<init> ()V","7","1","7"
"16","org.codehaus.plexus.util.xml.pull.XmlPullParser.getAttributeName (I)Ljava/lang/String;","7","3","7"
"17","org.codehaus.plexus.util.xml.pull.XmlPullParser.getAttributeCount ()I","5","1","5"
"18","java.lang.String.indexOf (I)I","3","3","3"
"19","org.apache.maven.settings.Settings.setServers (Ljava/util/List;)V","3","1","3"
"20","org.codehaus.plexus.util.xml.pull.XmlPullParser.getAttributeValue (I)Ljava/lang/String;","3","3","3"
"21","org.apache.maven.settings.Settings.setMirrors (Ljava/util/List;)V","2","1","2"
"22","org.apache.maven.settings.Settings.setPluginGroups (Ljava/util/List;)V","2","1","2"
"23","org.apache.maven.settings.Settings.setProfiles (Ljava/util/List;)V","2","1","2"
"24","org.apache.maven.settings.Settings.setProxies (Ljava/util/List;)V","2","1","2"
"25","org.codehaus.plexus.util.xml.pull.XmlPullParser.next ()I","834","2","834"
"26","org.codehaus.plexus.util.xml.pull.XmlPullParser.getInputEncoding ()Ljava/lang/String;","6","1","6"
"27","org.codehaus.plexus.util.xml.pull.XmlPullParser.getEventType ()I","3","1","3"
"28","org.apache.maven.settings.Settings.setModelEncoding (Ljava/lang/String;)V","1","1","1"
"29","org.codehaus.plexus.util.xml.pull.XmlPullParser.setInput (Ljava/io/Reader;)V","79","1","79"
"30","org.codehaus.plexus.util.xml.pull.MXParser.<init> (Lorg/codehaus/plexus/util/xml/pull/EntityReplacementMap;)V","66","1","66"
"31","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.<init> ()V","919","1","902"
"32","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader$1.<init> ()V","9","1","9"
"33","org.apache.maven.settings.io.xpp3.SettingsXpp3Reader.<init> (Lorg/apache/maven/settings/io/xpp3/SettingsXpp3Reader$ContentTransformer;)V","8","1","8"
"34","java.io.FileInputStream.<init> (Ljava/io/File;)V","55","1","55"
"35","java.io.InputStreamReader.<init> (Ljava/io/InputStream;Ljava/lang/String;)V","24","1","24"
"36","java.io.File.isFile ()Z","23","1","23"
"37","java.lang.System.getProperty (Ljava/lang/String;)Ljava/lang/String;","19","1","19"
"38","java.io.Reader.close ()V","17","1","17"
"39","java.io.File.<init> (Ljava/lang/String;Ljava/lang/String;)V","9","1","9"
"40","java.io.File.getAbsolutePath ()Ljava/lang/String;","5","1","5"
"41","java.lang.System.getProperty (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","4","1","4"
