"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","18063986","1","3460976"
"2","org.apache.maven.project.PomConstructionTest.setUp ()V","6164121","123","6135997"
"3","org.apache.maven.execution.scope.internal.MojoExecutionScopeCoreModule.configure ()V","24576","216","991"
"4","org.apache.maven.execution.scope.internal.MojoExecutionScopeModule.configure ()V","17933","216","4769"
"5","com.google.inject.binder.AnnotatedBindingBuilder.toInstance (Ljava/lang/Object;)V","25641","648","25641"
"6","com.google.inject.binder.AnnotatedBindingBuilder.toProvider (Lcom/google/inject/Provider;)Lcom/google/inject/binder/ScopedBindingBuilder;","3831","648","3831"
"7","com.google.inject.binder.ScopedBindingBuilder.in (Lcom/google/inject/Scope;)V","2671","648","2671"
"8","org.apache.maven.execution.scope.internal.MojoExecutionScope.seededKeyProvider ()Lcom/google/inject/Provider;","219","432","219"
"9","org.apache.maven.session.scope.internal.SessionScopeModule.configure ()V","17928","216","4242"
"10","org.apache.maven.session.scope.internal.SessionScope.seededKeyProvider ()Lcom/google/inject/Provider;","140","214","140"
"11","java.io.File.<init> (Ljava/lang/String;Ljava/lang/String;)V","1296","250","1296"
"12","org.apache.maven.session.scope.internal.SessionScope.<init> ()V","2208","216","1454"
"13","java.lang.ThreadLocal.<init> ()V","1337","436","1337"
"14","org.apache.maven.execution.scope.internal.MojoExecutionScope.<init> ()V","1642","218","1072"
"15","org.apache.maven.session.scope.internal.SessionScope.scope (Lcom/google/inject/Key;Lcom/google/inject/Provider;)Lcom/google/inject/Provider;","2400","432","1649"
"16","org.apache.maven.session.scope.internal.SessionScope$2.<init> (Lorg/apache/maven/session/scope/internal/SessionScope;Lcom/google/inject/Key;Lcom/google/inject/Provider;)V","751","432","751"
"17","org.apache.maven.project.PomConstructionTest.customizeContainerConfiguration (Lorg/codehaus/plexus/ContainerConfiguration;)V","838","123","485"
"18","org.codehaus.plexus.ContainerConfiguration.setClassPathScanning (Ljava/lang/String;)Lorg/codehaus/plexus/ContainerConfiguration;","260","215","260"
"19","org.codehaus.plexus.PlexusTestCase.customizeContainerConfiguration (Lorg/codehaus/plexus/ContainerConfiguration;)V","178","157","178"
"20","org.codehaus.plexus.ContainerConfiguration.setAutoWiring (Z)Lorg/codehaus/plexus/ContainerConfiguration;","258","215","258"
"21","org.apache.maven.execution.scope.internal.MojoExecutionScope.scope (Lcom/google/inject/Key;Lcom/google/inject/Provider;)Lcom/google/inject/Provider;","3056","437","2636"
"22","org.apache.maven.execution.scope.internal.MojoExecutionScope$2.<init> (Lorg/apache/maven/execution/scope/internal/MojoExecutionScope;Lcom/google/inject/Key;Lcom/google/inject/Provider;)V","420","437","420"
"23","org.apache.maven.session.scope.internal.SessionScopeModule.<init> (Lorg/apache/maven/session/scope/internal/SessionScope;)V","727","216","335"
"24","com.google.inject.AbstractModule.<init> ()V","699","427","699"
"25","org.apache.maven.execution.scope.internal.MojoExecutionScopeModule.<init> (Lorg/apache/maven/execution/scope/internal/MojoExecutionScope;)V","636","216","329"
"26","org.apache.maven.AbstractCoreMavenComponentTestCase.setUp ()V","4803268","58","4593038"
"27","org.apache.maven.MavenLifecycleParticipantTest.setupContainer ()V","183683","2","182924"
"28","org.apache.maven.AbstractCoreMavenComponentTestCase.customizeContainerConfiguration (Lorg/codehaus/plexus/ContainerConfiguration;)V","654","58","459"
"29","org.slf4j.LoggerFactory.getLogger (Ljava/lang/String;)Lorg/slf4j/Logger;","3462","1","8"
"30","org.slf4j.helpers.NOPLoggerFactory.getLogger (Ljava/lang/String;)Lorg/slf4j/Logger;","2405","1","2390"
"31","org.slf4j.helpers.NOPLogger.<clinit> ()V","15","1","3"
"32","org.slf4j.helpers.NOPLogger.<init> ()V","12","1","3"
"33","org.slf4j.helpers.MarkerIgnoringBase.<init> ()V","9","1","4"
"34","org.slf4j.helpers.NamedLoggerBase.<init> ()V","5","1","5"
"35","org.slf4j.LoggerFactory.getILoggerFactory ()Lorg/slf4j/ILoggerFactory;","1049","1","5"
"36","org.slf4j.LoggerFactory.performInitialization ()V","1044","1","1"
"37","org.slf4j.LoggerFactory.bind ()V","1043","1","678"
"38","org.slf4j.LoggerFactory.findPossibleStaticLoggerBinderPathSet ()Ljava/util/Set;","251","1","7"
"39","java.util.Enumeration.hasMoreElements ()Z","221","1","221"
"40","java.lang.ClassLoader.getResources (Ljava/lang/String;)Ljava/util/Enumeration;","11","1","11"
"41","java.util.LinkedHashSet.<init> ()V","232","95","232"
"42","java.lang.Class.getClassLoader ()Ljava/lang/ClassLoader;","5","1","5"
"43","org.slf4j.helpers.Util.report (Ljava/lang/String;)V","77","3","10"
"44","java.io.PrintStream.println (Ljava/lang/String;)V","1549","34","1549"
"45","java.lang.StringBuilder.<init> ()V","1266","761","1266"
"46","java.lang.StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;","1763","2059","1763"
"47","java.lang.StringBuilder.toString ()Ljava/lang/String;","1095","810","1095"
"48","org.slf4j.LoggerFactory.isAndroid ()Z","17","1","5"
"49","java.lang.String.contains (Ljava/lang/CharSequence;)Z","151","31","151"
"50","java.lang.String.toLowerCase ()Ljava/lang/String;","4","1","4"
"51","org.slf4j.helpers.Util.safeGetSystemProperty (Ljava/lang/String;)Ljava/lang/String;","12","2","3"
"52","java.lang.System.getProperty (Ljava/lang/String;)Ljava/lang/String;","98","6","98"
"53","org.slf4j.LoggerFactory.messageContainsOrgSlf4jImplStaticLoggerBinder (Ljava/lang/String;)Z","8","1","3"
"54","org.slf4j.LoggerFactory.reportMultipleBindingAmbiguity (Ljava/util/Set;)V","7","1","2"
"55","org.slf4j.LoggerFactory.isAmbiguousStaticLoggerBinderPathSet (Ljava/util/Set;)Z","5","1","1"
"56","java.util.Set.size ()I","99","15","99"
"57","java.lang.NoClassDefFoundError.getMessage ()Ljava/lang/String;","5","1","5"
"58","org.slf4j.LoggerFactory.<clinit> ()V","2815","1","2015"
"59","org.slf4j.helpers.SubstituteLoggerFactory.<init> ()V","778","1","503"
"60","java.util.concurrent.LinkedBlockingQueue.<init> ()V","272","1","272"
"61","java.util.HashMap.<init> ()V","287","182","287"
"62","org.slf4j.helpers.Util.safeGetBooleanSystemProperty (Ljava/lang/String;)Z","12","1","2"
"63","org.slf4j.helpers.NOPLoggerFactory.<init> ()V","6","1","6"
"64","org.slf4j.helpers.Util.<clinit> ()V","4","1","4"
"65","org.apache.maven.execution.scope.internal.MojoExecutionScope.<clinit> ()V","366","1","358"
"66","org.apache.maven.execution.scope.internal.MojoExecutionScope$1.<init> ()V","8","1","8"
"67","org.apache.maven.session.scope.internal.SessionScope.<clinit> ()V","365","1","343"
