"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","181920","1","93374"
"2","org.apache.maven.building.FileSourceTest.testGetInputStream ()V","56234","1","6429"
"3","java.util.Scanner.<init> (Ljava/io/InputStream;)V","46009","3","46009"
"4","java.util.Scanner.nextLine ()Ljava/lang/String;","5045","3","5045"
"5","org.apache.maven.building.FileSource.getInputStream ()Ljava/io/InputStream;","243","1","14"
"6","java.io.FileInputStream.<init> (Ljava/io/File;)V","229","1","229"
"7","java.util.Scanner.close ()V","161","3","161"
"8","org.apache.maven.building.FileSource.<init> (Ljava/io/File;)V","2108","4","93"
"9","java.io.File.getAbsoluteFile ()Ljava/io/File;","137","4","137"
"10","java.util.Objects.requireNonNull (Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;","1998","7","1998"
"11","java.io.File.<init> (Ljava/lang/String;)V","104","5","104"
"12","java.io.InputStream.close ()V","47","3","47"
"13","org.junit.Assert.assertEquals (Ljava/lang/Object;Ljava/lang/Object;)V","145","37","145"
"14","org.apache.maven.building.DefaultProblemCollectorTest.testGetProblems ()V","8562","1","2270"
"15","org.apache.maven.building.DefaultProblemCollector.add (Lorg/apache/maven/building/Problem$Severity;Ljava/lang/String;IILjava/lang/Exception;)V","6182","5","4715"
"16","org.apache.maven.building.DefaultProblem.<init> (Ljava/lang/String;Lorg/apache/maven/building/Problem$Severity;Ljava/lang/String;IILjava/lang/Exception;)V","1598","31","1541"
"17","org.apache.maven.building.Problem$Severity.<clinit> ()V","57","1","35"
"18","org.apache.maven.building.Problem$Severity.<init> (Ljava/lang/String;I)V","22","3","11"
"19","java.lang.Enum.<init> (Ljava/lang/String;I)V","11","3","11"
"20","java.util.List.add (Ljava/lang/Object;)Z","14","5","14"
"21","org.apache.maven.building.DefaultProblemCollector.<init> (Ljava/util/List;)V","46","4","36"
"22","java.util.ArrayList.<init> ()V","10","3","10"
"23","org.apache.maven.building.DefaultProblem.getMessage ()Ljava/lang/String;","27","5","10"
"24","java.lang.Exception.getMessage ()Ljava/lang/String;","10","3","10"
"25","java.lang.String.length ()I","12","7","12"
"26","java.util.List.get (I)Ljava/lang/Object;","20","5","20"
"27","java.lang.Exception.<init> ()V","46","3","46"
"28","org.junit.Assert.assertNotNull (Ljava/lang/Object;)V","11","1","11"
"29","java.util.List.size ()I","14","4","14"
"30","org.junit.Assert.assertEquals (JJ)V","33","16","33"
"31","org.apache.maven.building.DefaultProblemCollector.getProblems ()Ljava/util/List;","12","10","12"
"32","org.apache.maven.building.DefaultProblem.getSeverity ()Lorg/apache/maven/building/Problem$Severity;","7","6","7"
"33","org.apache.maven.building.DefaultProblem.getException ()Ljava/lang/Exception;","4","4","4"
"34","org.apache.maven.building.DefaultProblem.getLineNumber ()I","12","13","12"
"35","org.apache.maven.building.DefaultProblem.getColumnNumber ()I","36","13","36"
"36","org.apache.maven.building.UrlSourceTest.testGetInputStream ()V","5254","1","120"
"37","org.apache.maven.building.UrlSource.getInputStream ()Ljava/io/InputStream;","3198","1","14"
"38","java.net.URL.openStream ()Ljava/io/InputStream;","3184","1","3184"
"39","java.io.File.toURI ()Ljava/net/URI;","805","2","805"
"40","java.net.URI.toURL ()Ljava/net/URL;","357","2","357"
"41","org.apache.maven.building.UrlSource.<init> (Ljava/net/URL;)V","319","3","230"
"42","org.apache.maven.building.UrlSourceTest.testGetLocation ()V","5065","1","3987"
"43","java.net.URL.toExternalForm ()Ljava/lang/String;","50","1","50"
"44","org.apache.maven.building.UrlSource.getLocation ()Ljava/lang/String;","33","1","7"
"45","java.net.URL.toString ()Ljava/lang/String;","26","1","26"
"46","org.apache.maven.building.FileSourceTest.testGetLocation ()V","4806","1","4570"
"47","java.io.File.getAbsolutePath ()Ljava/lang/String;","15","1","15"
"48","org.apache.maven.building.FileSource.getLocation ()Ljava/lang/String;","9","1","5"
"49","java.io.File.getPath ()Ljava/lang/String;","4","1","4"
"50","org.apache.maven.building.ProblemCollectorFactoryTest.testNewInstance ()V","2082","1","2020"
"51","org.apache.maven.building.ProblemCollectorFactory.newInstance (Ljava/util/List;)Lorg/apache/maven/building/ProblemCollector;","21","2","8"
"52","java.util.Collections.singletonList (Ljava/lang/Object;)Ljava/util/List;","17","1","17"
"53","org.junit.Assert.assertNotSame (Ljava/lang/Object;Ljava/lang/Object;)V","7","1","7"
"54","org.apache.maven.building.FileSourceTest.testFileSource ()V","1984","1","64"
"55","java.lang.NullPointerException.getMessage ()Ljava/lang/String;","58","2","58"
"56","org.apache.maven.building.StringSourceTest.testGetInputStream ()V","1814","1","24"
"57","org.apache.maven.building.StringSource.<init> (Ljava/lang/CharSequence;)V","1460","3","1403"
"58","org.apache.maven.building.StringSource.<init> (Ljava/lang/CharSequence;Ljava/lang/String;)V","73","5","39"
"59","java.lang.CharSequence.toString ()Ljava/lang/String;","34","4","34"
"60","org.apache.maven.building.StringSource.getInputStream ()Ljava/io/InputStream;","49","1","22"
"61","java.io.ByteArrayInputStream.<init> ([B)V","15","1","15"
"62","java.lang.String.getBytes (Ljava/lang/String;)[B","12","1","12"
"63","org.apache.maven.building.StringSourceTest.testGetLocation ()V","1378","1","1315"
"64","org.apache.maven.building.StringSource.getLocation ()Ljava/lang/String;","2","2","2"
"65","org.apache.maven.building.DefaultProblemTest.testGetLocation ()V","447","1","50"
"66","org.apache.maven.building.DefaultProblem.getLocation ()Ljava/lang/String;","348","5","184"
"67","java.lang.StringBuilder.toString ()Ljava/lang/String;","45","5","45"
"68","java.lang.StringBuilder.<init> (I)V","24","5","24"
"69","java.lang.StringBuilder.append (I)Ljava/lang/StringBuilder;","19","4","19"
"70","java.lang.StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;","16","8","16"
