"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","2559296","1","140664"
"2","org.apache.maven.cli.MavenCliTest.testToolchainsBuildingEvents ()V","1280563","1","3830"
"3","org.mockito.Mockito.mock (Ljava/lang/Class;)Ljava/lang/Object;","1439704","8","1436520"
"4","org.apache.maven.eventspy.internal.EventSpyDispatcher$MockitoMock$743307973.<clinit> ()V","111","1","40"
"5","java.lang.Class.getMethod (Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;","1693","238","1693"
"6","java.lang.Class.getDeclaredMethod (Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;","75","10","75"
"7","org.apache.maven.eventspy.internal.EventSpyDispatcher$MockitoMock$743307973.setMockitoInterceptor (Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;)V","4","1","4"
"8","org.apache.maven.cli.MavenCli.container (Lorg/apache/maven/cli/CliRequest;)Lorg/codehaus/plexus/PlexusContainer;","624704","1","9485"
"9","org.codehaus.plexus.DefaultPlexusContainer.<init> (Lorg/codehaus/plexus/ContainerConfiguration;[Lcom/google/inject/Module;)V","539761","1","539375"
"10","org.apache.maven.cli.MavenCli$1.configure ()V","355","1","221"
"11","com.google.inject.binder.AnnotatedBindingBuilder.toInstance (Ljava/lang/Object;)V","134","2","134"
"12","org.slf4j.LoggerFactory.getLogger (Ljava/lang/String;)Lorg/slf4j/Logger;","439","8","19"
"13","org.slf4j.impl.SimpleLoggerFactory.getLogger (Ljava/lang/String;)Lorg/slf4j/Logger;","696","15","30"
"14","org.slf4j.impl.SimpleLogger.<init> (Ljava/lang/String;)V","627","13","42"
"15","org.slf4j.impl.SimpleLogger.recursivelyComputeLevelString ()Ljava/lang/String;","551","13","129"
"16","org.slf4j.impl.SimpleLoggerConfiguration.getStringProperty (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","248","95","62"
"17","org.slf4j.impl.SimpleLoggerConfiguration.getStringProperty (Ljava/lang/String;)Ljava/lang/String;","252","137","94"
"18","java.lang.System.getProperty (Ljava/lang/String;)Ljava/lang/String;","696","172","696"
"19","java.lang.String.lastIndexOf (Ljava/lang/String;)I","26","67","26"
"20","java.lang.String.valueOf (Ljava/lang/Object;)Ljava/lang/String;","21","67","21"
"21","java.lang.StringBuilder.<init> ()V","564","484","564"
"22","java.lang.StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;","614","1550","614"
"23","org.slf4j.helpers.MarkerIgnoringBase.<init> ()V","34","13","15"
"24","org.slf4j.helpers.NamedLoggerBase.<init> ()V","19","12","19"
"25","java.util.concurrent.ConcurrentMap.putIfAbsent (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","22","13","22"
"26","java.util.concurrent.ConcurrentMap.get (Ljava/lang/Object;)Ljava/lang/Object;","17","15","17"
"27","org.slf4j.LoggerFactory.getILoggerFactory ()Lorg/slf4j/ILoggerFactory;","21455","27","61"
"28","org.slf4j.impl.StaticLoggerBinder.getLoggerFactory ()Lorg/slf4j/ILoggerFactory;","9","25","9"
"29","org.slf4j.impl.StaticLoggerBinder.getSingleton ()Lorg/slf4j/impl/StaticLoggerBinder;","36","30","36"
"30","org.slf4j.impl.SimpleLogger.isTraceEnabled ()Z","3","1","2"
"31","org.slf4j.impl.SimpleLogger.isLevelEnabled (I)Z","1","1","1"
"32","org.apache.maven.cli.MavenCliTest$1.customizeContainer (Lorg/codehaus/plexus/PlexusContainer;)V","20663","1","311"
"33","org.apache.maven.Maven$MockitoMock$678701123.<clinit> ()V","83","1","42"
"34","org.apache.maven.Maven$MockitoMock$678701123.setMockitoInterceptor (Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;)V","2","1","2"
"35","org.codehaus.plexus.PlexusContainer.addComponent (Ljava/lang/Object;Ljava/lang/String;)V","2552","2","2552"
"36","org.apache.maven.cli.MavenCli.customizeContainer (Lorg/codehaus/plexus/PlexusContainer;)V","1","1","1"
"37","org.apache.maven.extension.internal.CoreExtensionEntry.discoverFrom (Lorg/codehaus/plexus/classworlds/realm/ClassRealm;)Lorg/apache/maven/extension/internal/CoreExtensionEntry;","19116","1","27"
"38","org.apache.maven.project.ExtensionDescriptorBuilder.build (Ljava/io/InputStream;)Lorg/apache/maven/project/ExtensionDescriptor;","17913","1","670"
