"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","92854909","1","8790290"
"2","org.apache.commons.collections4.collection.AbstractCollectionTest.testCollectionRemove ()V","11023084","238","178737"
"3","org.apache.commons.collections4.map.AbstractMapTest$TestMapValues.verify ()V","6786430","2872","44753"
"4","org.apache.commons.collections4.map.AbstractMapTest.verify ()V","34190345","21234","11609582"
"5","org.apache.commons.collections4.map.AbstractMapTest.verifyMap ()V","4445712","21234","723200"
"6","java.util.Map.equals (Ljava/lang/Object;)Z","1962651","39004","323038"
"7","org.apache.commons.collections4.map.AbstractHashedMap.equals (Ljava/lang/Object;)Z","424059","3326","89694"
"8","java.util.Map.get (Ljava/lang/Object;)Ljava/lang/Object;","342947","241988","159079"
"9","org.apache.commons.collections4.comparators.NullComparator.compare (Ljava/lang/Object;Ljava/lang/Object;)I","1167017","636801","361129"
"10","java.util.Comparator.compare (Ljava/lang/Object;Ljava/lang/Object;)I","1990915","1286494","574351"
"11","org.apache.commons.collections4.comparators.ComparableComparator.compare (Ljava/lang/Object;Ljava/lang/Object;)I","1416114","1286406","601328"
"12","org.apache.commons.collections4.comparators.ComparableComparator.compare (Ljava/lang/Comparable;Ljava/lang/Comparable;)I","814786","1286377","532841"
"13","java.lang.Comparable.compareTo (Ljava/lang/Object;)I","401742","1757515","401742"
"14","org.apache.commons.collections4.map.AbstractHashedMap.get (Ljava/lang/Object;)Ljava/lang/Object;","24824","5042","11267"
"15","org.apache.commons.collections4.map.IdentityMap.hash (Ljava/lang/Object;)I","18943","19848","9015"
"16","java.lang.System.identityHashCode (Ljava/lang/Object;)I","35054","76440","35054"
"17","org.apache.commons.collections4.map.AbstractHashedMap.convertKey (Ljava/lang/Object;)Ljava/lang/Object;","98884","553868","98884"
"18","org.apache.commons.collections4.map.IdentityMap.isEqualKey (Ljava/lang/Object;Ljava/lang/Object;)Z","3378","15734","3378"
"19","org.apache.commons.collections4.map.AbstractHashedMap$HashEntry.getValue ()Ljava/lang/Object;","208665","1674063","208665"
"20","org.apache.commons.collections4.map.AbstractHashedMap.hashIndex (II)I","83490","537973","83490"
"21","org.apache.commons.collections4.map.AbstractLinkedMap$LinkMapIterator.getValue ()Ljava/lang/Object;","222733","341782","149258"
"22","org.apache.commons.collections4.map.AbstractLinkedMap$LinkIterator.currentEntry ()Lorg/apache/commons/collections4/map/AbstractLinkedMap$LinkEntry;","37299","341962","37299"
"23","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.hasNext ()Z","569077","169859","295857"
"24","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry.getKey ()Ljava/lang/Object;","180755","307199","129533"
"25","java.lang.ref.Reference.get ()Ljava/lang/Object;","101311","616189","101311"
"26","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry.getValue ()Ljava/lang/Object;","150359","273600","107262"
"27","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.nextNull ()Z","90878","634344","90878"
"28","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.checkMod ()V","61749","334338","61123"
"29","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceMapIterator.next ()Ljava/lang/Object;","25232","9002","6996"
"30","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.nextEntry ()Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry;","204101","155229","128665"
"31","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry.next ()Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry;","24889","155081","24889"
"32","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceMapIterator.getValue ()Ljava/lang/Object;","17497","8962","7173"
"33","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.currentEntry ()Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry;","5466","9018","4032"
"34","org.apache.commons.collections4.map.AbstractLinkedMap$LinkMapIterator.next ()Ljava/lang/Object;","247093","341918","146939"
