"Number","Method","Time","Count","SelfTime"
"1","java.util.concurrent.ThreadPoolExecutor$Worker.run ()V","855067896","31","854564101"
"2","org.apache.maven.artifact.resolver.DefaultArtifactResolver$ResolveTask.run ()V","489933","224","635"
"3","org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolve (Lorg/apache/maven/artifact/Artifact;Ljava/util/List;Lorg/eclipse/aether/RepositorySystemSession;)V","789384","561","4781"
"4","org.eclipse.aether.RepositorySystem.resolveArtifact (Lorg/eclipse/aether/RepositorySystemSession;Lorg/eclipse/aether/resolution/ArtifactRequest;)Lorg/eclipse/aether/resolution/ArtifactResult;","1956381","1440","453908"
"5","org.apache.maven.eventspy.internal.EventSpyRepositoryListener.artifactResolved (Lorg/eclipse/aether/RepositoryEvent;)V","1787122","3332","8305"
"6","org.apache.maven.eventspy.internal.EventSpyDispatcher.onEvent (Ljava/lang/Object;)V","3248450","7197","3219244"
"7","java.util.Iterator.hasNext ()Z","821109","4525730","821109"
"8","java.util.List.isEmpty ()Z","68082","304669","68082"
"9","java.util.List.iterator ()Ljava/util/Iterator;","388869","896898","388869"
"10","java.util.Iterator.next ()Ljava/lang/Object;","681687","3277734","681682"
"11","org.eclipse.aether.RepositoryListener.artifactResolved (Lorg/eclipse/aether/RepositoryEvent;)V","1624","3308","1624"
"12","org.apache.maven.eventspy.internal.EventSpyRepositoryListener.artifactResolving (Lorg/eclipse/aether/RepositoryEvent;)V","1224504","3332","6555"
"13","org.eclipse.aether.RepositoryListener.artifactResolving (Lorg/eclipse/aether/RepositoryEvent;)V","1442","3312","1442"
"14","org.apache.maven.repository.internal.DefaultVersionResolver.resolveVersion (Lorg/eclipse/aether/RepositorySystemSession;Lorg/eclipse/aether/resolution/VersionRequest;)Lorg/eclipse/aether/resolution/VersionResult;","166945","4294","26081"
"15","org.apache.maven.repository.internal.DefaultVersionResolver$Key.<init> (Lorg/eclipse/aether/RepositorySystemSession;Lorg/eclipse/aether/resolution/VersionRequest;)V","73644","4294","32847"
"16","java.lang.String.hashCode ()I","19914","104542","19914"
"17","org.eclipse.aether.internal.impl.CacheUtils.repositoriesHashCode (Ljava/util/List;)I","3996","4289","3996"
"18","org.eclipse.aether.internal.impl.CacheUtils.getWorkspace (Lorg/eclipse/aether/RepositorySystemSession;)Lorg/eclipse/aether/repository/WorkspaceRepository;","5193","4293","4336"
"19","org.apache.maven.ReactorReader.getRepository ()Lorg/eclipse/aether/repository/WorkspaceRepository;","1068","5339","1068"
"20","java.util.ArrayList.<init> (I)V","40423","74713","40423"
"21","org.eclipse.aether.resolution.VersionRequest.getArtifact ()Lorg/eclipse/aether/artifact/Artifact;","3466","8529","3466"
"22","java.util.List.add (Ljava/lang/Object;)Z","187702","761112","187702"
"23","java.io.File.hashCode ()I","1571","4276","1571"
"24","org.eclipse.aether.artifact.Artifact.getExtension ()Ljava/lang/String;","2713","11100","2713"
"25","org.eclipse.aether.repository.RemoteRepository.isRepositoryManager ()Z","1852","9948","1852"
"26","org.eclipse.aether.repository.LocalRepository.getBasedir ()Ljava/io/File;","1376","5962","1376"
"27","org.eclipse.aether.resolution.VersionRequest.getRepositories ()Ljava/util/List;","1593","8630","1593"
"28","org.eclipse.aether.RepositorySystemSession.getLocalRepository ()Lorg/eclipse/aether/repository/LocalRepository;","2419","4925","2419"
"29","org.eclipse.aether.artifact.Artifact.getGroupId ()Ljava/lang/String;","4494","14607","4494"
"30","org.eclipse.aether.artifact.Artifact.getArtifactId ()Ljava/lang/String;","3058","14185","3058"
"31","org.eclipse.aether.artifact.Artifact.getVersion ()Ljava/lang/String;","4523","19583","4523"
"32","java.util.List.size ()I","247040","1471050","247040"
"33","org.eclipse.aether.artifact.Artifact.getClassifier ()Ljava/lang/String;","2088","8148","2088"
"34","org.eclipse.aether.repository.WorkspaceReader.findVersions (Lorg/eclipse/aether/artifact/Artifact;)Ljava/util/List;","18208","286","576"
"35","org.apache.maven.ReactorReader.findVersions (Lorg/eclipse/aether/artifact/Artifact;)Ljava/util/List;","17632","286","2168"
"36","org.apache.maven.ReactorReader.find (Lorg/apache/maven/project/MavenProject;Lorg/eclipse/aether/artifact/Artifact;)Ljava/io/File;","13893","489","938"
"37","org.apache.maven.ReactorReader.hasArtifactFileFromPackagePhase (Lorg/eclipse/aether/artifact/Artifact;)Z","6133","223","320"
"38","java.io.File.exists ()Z","157510","12381","157510"
"39","org.eclipse.aether.artifact.Artifact.getFile ()Ljava/io/File;","1874","6463","1874"
"40","org.apache.maven.ReactorReader.findMatchingArtifact (Lorg/apache/maven/project/MavenProject;Lorg/eclipse/aether/artifact/Artifact;)Lorg/eclipse/aether/artifact/Artifact;","6281","223","574"
"41","org.apache.maven.RepositoryUtils.toArtifact (Lorg/apache/maven/artifact/Artifact;)Lorg/eclipse/aether/artifact/Artifact;","53135","2668","13254"
"42","org.eclipse.aether.artifact.DefaultArtifact.<init> (Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/util/Map;Lorg/eclipse/aether/artifact/ArtifactType;)V","52565","12433","52565"
"43","org.apache.maven.RepositoryUtils.newArtifactType (Ljava/lang/String;Lorg/apache/maven/artifact/handler/ArtifactHandler;)Lorg/eclipse/aether/artifact/ArtifactType;","24537","4373","7778"
"44","org.eclipse.aether.artifact.DefaultArtifactType.<init> (Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZZ)V","13323","4378","13323"
"45","org.apache.maven.artifact.handler.DefaultArtifactHandler.getExtension ()Ljava/lang/String;","1308","6982","1308"
"46","org.apache.maven.artifact.handler.DefaultArtifactHandler.getClassifier ()Ljava/lang/String;","5246","34472","5246"
"47","org.apache.maven.artifact.handler.DefaultArtifactHandler.isAddedToClasspath ()Z","957","6109","957"
"48","org.apache.maven.artifact.handler.DefaultArtifactHandler.isIncludesDependencies ()Z","654","4446","654"
"49","org.apache.maven.artifact.handler.DefaultArtifactHandler.getLanguage ()Ljava/lang/String;","679","4338","679"
"50","org.eclipse.aether.artifact.Artifact.setFile (Ljava/io/File;)Lorg/eclipse/aether/artifact/Artifact;","1839","2664","1839"
"51","org.apache.maven.artifact.DefaultArtifact.getVersion ()Ljava/lang/String;","7444","35871","7444"
"52","org.apache.maven.artifact.DefaultArtifact.getArtifactHandler ()Lorg/apache/maven/artifact/handler/ArtifactHandler;","3462","13039","3462"
"53","org.apache.maven.artifact.DefaultArtifact.getArtifactId ()Ljava/lang/String;","10095","46964","10095"
"54","org.apache.maven.artifact.DefaultArtifact.getGroupId ()Ljava/lang/String;","9858","54202","9858"
"55","org.apache.maven.artifact.DefaultArtifact.getType ()Ljava/lang/String;","7812","48264","7812"
"56","java.lang.String.equals (Ljava/lang/Object;)Z","1152530","7309034","1152530"
"57","org.apache.maven.artifact.DefaultArtifact.getClassifier ()Ljava/lang/String;","2706","14111","2706"
"58","org.apache.maven.artifact.DefaultArtifact.getFile ()Ljava/io/File;","3538","15715","3538"
"59","org.apache.maven.artifact.DefaultArtifact.getScope ()Ljava/lang/String;","6790","35809","6790"
"60","org.eclipse.aether.util.artifact.ArtifactIdUtils.toVersionlessId (Lorg/eclipse/aether/artifact/Artifact;)Ljava/lang/String;","1157","446","1157"
"61","org.apache.maven.project.MavenProject.getArtifact ()Lorg/apache/maven/artifact/Artifact;","520","2780","520"
"62","org.apache.maven.artifact.ArtifactUtils.versionlessKey (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","10551","2061","4271"
"63","java.lang.StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;","359310","945018","359310"
"64","java.lang.StringBuilder.<init> ()V","192848","327545","192848"
"65","org.apache.commons.lang3.Validate.notBlank (Ljava/lang/CharSequence;Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/CharSequence;","7985","18349","7985"
"66","java.lang.StringBuilder.toString ()Ljava/lang/String;","375995","340232","375995"
"67","java.util.ArrayList.<init> ()V","258082","672430","258082"
