"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","-1841650363","6","60234993"
"2","org.apache.pdfbox.util.TestQuickSort.testSort ()V","117384360","1","304269"
"3","org.apache.pdfbox.util.TestQuickSort.doTest ([Ljava/lang/Comparable;[Ljava/lang/Comparable;)V","116540094","106","1466"
"4","org.apache.pdfbox.util.QuickSort.sort (Ljava/util/List;)V","116533068","107","161"
"5","org.apache.pdfbox.util.QuickSort.sort (Ljava/util/List;Ljava/util/Comparator;)V","122083047","238","621"
"6","org.apache.pdfbox.util.QuickSort.quicksort (Ljava/util/List;Ljava/util/Comparator;)V","122082139","190","1458015"
"7","org.apache.pdfbox.util.QuickSort.partition (Ljava/util/List;Ljava/util/Comparator;III)I","118714555","723105","13809482"
"8","java.util.Comparator.compare (Ljava/lang/Object;Ljava/lang/Object;)I","103628737","135820235","30624477"
"9","org.apache.pdfbox.util.QuickSort$1.compare (Ljava/lang/Object;Ljava/lang/Object;)I","68530618","134354495","30096295"
"10","org.apache.pdfbox.util.QuickSort$1.compare (Ljava/lang/Comparable;Ljava/lang/Comparable;)I","38434323","134354495","24180607"
"11","java.lang.Comparable.compareTo (Ljava/lang/Object;)I","14253716","134354495","14253716"
"12","org.apache.pdfbox.util.QuickSort.swap (Ljava/util/List;II)V","1276336","2650498","805017"
"13","java.util.List.set (ILjava/lang/Object;)Ljava/lang/Object;","476029","5309476","476029"
"14","java.lang.Integer.valueOf (I)Ljava/lang/Integer;","10943951","37645518","10943951"
"15","java.util.Deque.push (Ljava/lang/Object;)V","346331","3245296","346331"
"16","java.util.Deque.pop ()Ljava/lang/Object;","312143","3244666","312143"
"17","java.lang.Integer.intValue ()I","5762979","38975226","5762979"
"18","java.util.Deque.isEmpty ()Z","135292","1446623","135292"
"19","java.util.ArrayDeque.<init> ()V","5839","3547","5839"
"20","java.util.List.size ()I","708057","5969885","682560"
