"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","208998324","9","19914370"
"2","org.apache.zookeeper.metrics.prometheus.PrometheusMetricsProvider_ESTest_scaffolding.initEvoSuiteFramework ()V","6607508","1","153"
"3","org.apache.zookeeper.metrics.prometheus.PrometheusMetricsProvider_ESTest_scaffolding.initializeClasses ()V","2932004","1","278"
"4","org.evosuite.runtime.classhandling.ClassStateSupport.initializeClasses (Ljava/lang/ClassLoader;[Ljava/lang/String;)Z","26030535","128","21972248"
"5","org.apache.log4j.Category.log (Ljava/lang/String;Lorg/apache/log4j/Priority;Ljava/lang/Object;Ljava/lang/Throwable;)V","26623484","95276","216283"
"6","org.apache.log4j.Category.forcedLog (Ljava/lang/String;Lorg/apache/log4j/Priority;Ljava/lang/Object;Ljava/lang/Throwable;)V","26319200","88167","138081"
"7","org.apache.log4j.Category.callAppenders (Lorg/apache/log4j/spi/LoggingEvent;)V","25904495","88167","3575814"
"8","org.apache.log4j.helpers.AppenderAttachableImpl.appendLoopOnAppenders (Lorg/apache/log4j/spi/LoggingEvent;)I","22328681","88167","156060"
"9","org.apache.log4j.AppenderSkeleton.doAppend (Lorg/apache/log4j/spi/LoggingEvent;)V","22093176","88167","144809"
"10","org.apache.log4j.WriterAppender.append (Lorg/apache/log4j/spi/LoggingEvent;)V","21849953","88167","81857"
"11","org.apache.log4j.WriterAppender.subAppend (Lorg/apache/log4j/spi/LoggingEvent;)V","21736417","88167","248832"
"12","org.apache.log4j.PatternLayout.format (Lorg/apache/log4j/spi/LoggingEvent;)Ljava/lang/String;","19880836","88167","485101"
"13","org.apache.log4j.helpers.PatternConverter.format (Ljava/lang/StringBuffer;Lorg/apache/log4j/spi/LoggingEvent;)V","18803257","617169","608003"
"14","org.apache.log4j.helpers.PatternParser$NamedPatternConverter.convert (Lorg/apache/log4j/spi/LoggingEvent;)Ljava/lang/String;","16260239","88167","132326"
"15","org.apache.log4j.helpers.PatternParser$ClassNamePatternConverter.getFullyQualifiedName (Lorg/apache/log4j/spi/LoggingEvent;)Ljava/lang/String;","15987086","88167","112815"
"16","org.apache.log4j.spi.LoggingEvent.getLocationInformation ()Lorg/apache/log4j/spi/LocationInfo;","15866238","175292","177814"
"17","org.apache.log4j.spi.LocationInfo.<init> (Ljava/lang/Throwable;Ljava/lang/String;)V","13690936","88167","12463604"
"18","java.lang.String.equals (Ljava/lang/Object;)Z","608481","3338589","608481"
"19","java.lang.StringBuffer.append (Ljava/lang/String;)Ljava/lang/StringBuffer;","730244","1947695","730244"
"20","java.lang.String.valueOf (I)Ljava/lang/String;","124290","87950","124290"
"21","java.lang.StringBuffer.<init> ()V","113984","89775","113984"
"22","java.lang.StringBuffer.toString ()Ljava/lang/String;","208097","177795","208097"
"23","java.lang.Integer.intValue ()I","43141","104691","43141"
"24","java.lang.Throwable.<init> ()V","1989350","88167","1989350"
"25","org.apache.log4j.spi.LocationInfo.getClassName ()Ljava/lang/String;","33528","87419","33528"
"26","java.lang.String.substring (II)Ljava/lang/String;","206808","228907","206808"
"27","java.lang.String.lastIndexOf (II)I","37722","90632","37722"
"28","org.apache.log4j.helpers.PatternParser$DatePatternConverter.convert (Lorg/apache/log4j/spi/LoggingEvent;)Ljava/lang/String;","788090","88167","116697"
"29","java.text.DateFormat.format (Ljava/util/Date;)Ljava/lang/String;","640216","88167","260931"
"30","org.apache.log4j.helpers.ISO8601DateFormat.format (Ljava/util/Date;Ljava/lang/StringBuffer;Ljava/text/FieldPosition;)Ljava/lang/StringBuffer;","379285","88167","140580"
"31","java.lang.StringBuffer.append ([C)Ljava/lang/StringBuffer;","102761","87645","102761"
"32","java.lang.StringBuffer.append (I)Ljava/lang/StringBuffer;","58646","89519","58646"
"33","java.util.Date.getTime ()J","52799","87458","52799"
"34","java.util.Calendar.get (I)I","2651","2022","2651"
"35","java.lang.StringBuffer.append (C)Ljava/lang/StringBuffer;","7796","11582","7796"
"36","java.util.Calendar.setTime (Ljava/util/Date;)V","12748","340","12748"
